ID,Epico,Historia (User Story),Criterios de Aceite (Gherkin),Prioridade (MoSCoW),Esforco (Story Points),Dependencias,Observacoes
PBI-13,Infra/Setup,"Como autor solo, quero um repositório público com README e branch main para versionar o projeto.","Dado que preciso versionar o projeto | Quando eu criar o repo público e o README | Então o link do repo fica acessível e o README tem as seções pedidas.",Must,1,,
PBI-14,Gestão,"Como autor, quero um GitHub Project (Kanban) com To do/Doing/Review/Done e WIP=1 para visualizar a sprint.","Dado que preciso acompanhar o fluxo | Quando eu configurar o Project com as colunas e WIP=1 | Então consigo mover issues e o board é público.",Must,1,,
PBI-01,Narrativa,"Como leitor, quero que a HQ tenha nome/autor (unipessoal) e tema definidos para entender a proposta.","Dado que a HQ precisa de identidade | Quando eu definir nome/autor e o tema | Então essas infos aparecem no README.",Must,1,,
PBI-15,Gestão,"Como professor, quero encontrar todos os links (repo, issues, board, CSVs) no README para facilitar a avaliação.","Dado que há vários artefatos | Quando eu centralizar os links no README | Então consigo acessar tudo por um único lugar.",Must,1,PBI-13|PBI-14,
PBI-04,Personagens,"Como leitor, quero 3 personagens com objetivos e conflitos claros para seguir a história.","Dado que a HQ precisa de personagens | Quando eu criar 3 fichas em /docs/personagens.md | Então as fichas ficam completas e versionadas.",Must,3,,/docs/personagens.md
PBI-06,Layout,"Como artista, quero um layout (formato e grid) documentado para manter consistência visual.","Dado que preciso padronizar diagramação | Quando eu documentar layout em /docs/layout.md | Então o grid/observações ficam claros.",Should,1,,/docs/layout.md
PBI-07,Roteiro,"Como leitor, quero a Página 1 roteirizada (6–8 quadros) para entender o início da história.","Dado que a HQ precisa começar clara | Quando eu escrever /roteiro/pagina1.md | Então os quadros têm ações e falas claras.",Must,3,PBI-04|PBI-06,/roteiro/pagina1.md
PBI-08,Storyboard,"Como artista, quero o storyboard da Página 1 para validar composição e ritmo.","Dado que o roteiro da Página 1 existe | Quando eu criar thumbnails e salvar /storyboard/pagina1.png | Então a composição é validada visualmente.",Should,2,PBI-07,/storyboard/pagina1.png
PBI-10,Arte/Letreiramento,"Como leitor, quero letreiramento mock da Página 1 para validar legibilidade e tom.","Dado que existe line art/storyboard | Quando eu inserir balões e texto em /arte/pagina1_letras.png | Então o mock fica legível e coerente.",Should,1.5,PBI-08,/arte/pagina1_letras.png
PBI-12,Entrega,"Como professor, quero a entrega inicial (PNG/PDF) da Página 1 em /entrega para avaliar.","Dado que concluí a Página 1 | Quando eu exportar PNG e PDF para /entrega | Então os arquivos ficam acessíveis.",Must,1,PBI-07|PBI-08|PBI-10,/entrega/hq_pagina1.png|/entrega/hq_pagina1.pdf
